text,label
"poor-families United Kingdom the scheme saw an estimated 150,000 children from poor families being sent to parts of the british empire between 1920 and 1974 , by religious orders and charities who said they would lead better lives .",1
"poor-families Sri Lanka the next immediate problem that cropped up was how to assist the unfortunate couple , as neither of them possessed a birth certificate , a marriage certificate , or even an identity card . the samurdhi officer dhanapala lamented explaining how agonizing it was for him to bear , when he came across the majority of poor families in the village did not possess even an id to assist them officially .",1
"poor-families Ghana to strengthen child-sensitive social protection systems , including cash transfer programmes that directly help poor families to pay for food , health care , education and other services that protect children from the impact of poverty and improve their chances of breaking the cycle in their own lives .",1
"homeless Jamaica as a member of care of hope , barnett provides food for the street people catered to by the foundation on a regular basis . she , however , does n't mind having to cook to feed the homeless and the needy she said , because this is basically something that is already up her alley .",1
"hopeless Philippines ""lougene has this message to others who may still be hooked on illegal drugs : """" do n't be hopeless because there is hope . you can still change . that 's why whenever i see on tv drug users and dealers that were killed , i say to myself they should have been given a chance to change by bringing them to a place such as this . """"""",1
"homeless Nigeria this is in a renewed effort to focus attention on the plight of the homeless , orphaned , abandoned , abused and indigent children across the african continent , a passion which sirleaf shares with the foundation .",1
"homeless Singapore together with wife vicky , cornell established the chris &amp; vicky cornell foundation , a charity that works with vulnerable children . the charity currently focuses on protecting these children from the ravages of homelessness , poverty , abuse and neglect . <h> 7 . cuba concert",1
"vulnerable Ghana born a christian , my humility and respect for especially the elderly and young of our society is very firm , apt and intact . in like manner , my defence and justice for the helpless and vulnerable is very much same .",1
homeless Ireland from sleeping rough to becoming a published author : this man 's story will make you think twice about ignoring the homeless,1
"poor-families Australia """""" bruce has done a fantastic job in training youngsters , especially the youngsters that come from the poorest of the poor families , who would never have even had an opportunity to even buy a cricket bat . """"""",1
"poor-families Sri Lanka """""" volleyball is our reputation in schools ' sport . but as an underprivileged school we are not in a position to give all the facilities needed by the players . moreover these boys come from poor families and sadly the parents too are not in a state to render their support apart from their humble blessings . our boys are very brave to win two or three titles in four to five tournaments annually which is a great achievement from our point of view , """" lakshan added .""",1
"homeless Canada ""ms. archibald """" had room in her heart for everyone and believed strongly that every person was to be valued and respected , """" the family said , noting she worked at a homeless shelter prior to moving overseas . """" she would have had no understanding of the callous cruelty that caused her death . """"""",1
"poor-families India even though many of these students get selected to subordinate services , the service is capable of uplifting their poor families . <h> impact",1
"poor-families Australia ""iain duncan-smith has made his feelings about benefits claimants clear : poor families are to be given pre-paid cards , loaded with payments , to make sure they spend the money on food , rather than their """" self-destructive habits """" .""",1
"in-need Hong Kong ""in addition , chan revealed that """" care and sharing """" will be a main theme of the coming budget plan , that is , assisting social groups in need to achieve the goal of supporting the disadvantaged and helping the children to make the society more harmonious .""",1
"homeless Sri Lanka 5 ) most buddhist institutions and temples collectively have no programmes to assist refugees , or provide shelter for homeless children or provide rehabilitation services . in contrast , the well established christian churches and new evangelical groups are active at village and town levels in helping affected individuals e.g. victims of political violence , come to terms with their grief . further , they also help people to cope with more mundane problems ( 22 ) .",1
"vulnerable India the aimmm registers its full sympathy with the hapless female victims of violence and rape crimes , especially the young lady brutalised by beasts on a moving delhi bus in the night of 16 december which has rightly agitated a large section of indians . all such crimes against women and weaker sections , especially minorities , dalits and adivasis are highly condemnable and show the whole country in extremely bad light . it is time people , police , judiciary and government agencies stood up to discharge their duties to protect the weak and vulnerable sections of society . the aimmm urges the government to introduce deterrent punishments for such brutal crimes . it should also hasten with the overdue police reforms to liberate the police force from the british raj rules and make it capable and accountable to protect all citizens , human rights and honour of ordinary people .",1
"in-need Singapore he is more than just an employer to his staff , who include young people at risk and single parents . food and rent are paid for , and he chips in for necessities like children 's allowances or transport fees if someone is in need . every month , the trained prison counsellor also holds mentorship sessions for his staff .",1
"hopeless Pakistan ""islamic philosophy has dealt at length with the study of inherent mental qualities and inclinations among human beings with special reference to moral virtue . some human beings are totally inclined to the pursuit of virtue , and are consumed with desire for knowledge of the divine world , known as m ' arifat , or gnosis . others tend to be carried away by the things and pleasures of the world . there is a middle , order of persons who have inclination to gnosis , and also have aptitude for worldly , affairs . this last category is described by imam razi , writing in the 12th century , as """" the people of the right hand or the balanced people """" , and to such persons , control over the affairs of their fellowmen rightly belongs . the task is never easy ; mere goodness is no guarantee for success . possession of all the virtues alone is not sufficient . there must be inspiration from a higher source . the element of marifat provides the necessary directions , by holding the attention to the divine light . no leader of any community who has gained success in managing its affairs and certainly no leader who led his people out of bondage , or saved them from the threat of hopeless submergence under a majority , hostile to them , can ever have done so by the exercise of mere human intelligence , or brain power or character .""",1
"in-need Nigeria """""" she has one huge platform , and information can go out to places that really need to know what 's going on in her hometown . she has always availed not only her platform , her voice , but also resources -- tangible resources -- to help those most in need in houston and around . """"""",1
"disabled Malaysia 2017 budget : more needs to be done for disabled , say groups",1
"in-need Malaysia """""" for example , we also extended help to the people of yong peng , which is under the opposition , because it is our responsibility to help those who are in need , """" he added .""",1
women Australia asws ceo di gipey said the coroner 's report into the deaths of two women after long histories of domestic violence again highlighted the pressing need to make real changes that will make women and children safe .,1
"refugee Ghana ""vodafone foundation director andrew dunnett said : """" there were 16.7 million refugees worldwide at the end of 2013 and 50 per cent of them are under the age of 18 . tablet-based learning programmes will provide many of the children in dadaab with an unlimited information resource that they would otherwise not have had . """"""",1
"women Hong Kong saudi arabia 's king salman on tuesday ordered that women be allowed to drive cars , carrying out a major reform that rights activists have been demanding for a long time in the islamic kingdom . through ...",1
"vulnerable South Africa in each and every town or city where a caxton local paper is distributed , you will find them immersed in their communities , providing assistance with projects that uplift society . a stand-out community newspaper initiative is dice ( do i care enough ) , a vital component of the zululand observer , indelibly linked to zululand since 1973 . not only is it involved in the care of the vulnerable and dispossessed , but it is active in all spheres of community upliftment wherever the need may be .",1
women Bangladesh she said these women deserve the same kind of choice that any women anywhere in the world should have .,1
"women Jamaica """""" i do n't believe in abortion , i think it is wicked . i would tell women to have their child and god will provide , """" said julene .""",1
"in-need Tanzania, United Republic of the ten wheelchairs were sought for children identified by the host , salvation army to enable them to become mobile , the convener noted . baps charity would go anywhere to donate provided there are found people in need of the donations without any discrimination relating to religion , colour , origins or tribe , he stated .",1
"in-need United States """""" as briggs &amp; stratton celebrates its 110th anniversary year , what better way to reaffirm our commitment to the milwaukee community than by providing $1 million to kids in need of pediatric care , """" said rick carpenter , vice president corporate marketing . """" we are lucky to have one of the nation 's top pediatric hospitals right here within our community and briggs &amp; stratton firmly stands behind its commitment to extend its support into the future . """"""",1
hopeless United States yes ... because there is no hope where he lives . india is a third-world country . do n't be fooled by call centers in big cities . most of the country is rural and most of the population is illiterate and hopeless .,1
"homeless Philippines through gawad kalinga , meloto has proven to be a key player in the housing industry , helping provide decent homes and sustainable livelihood to the marginalized and homeless filipinos .",1
refugee India egypt billionare offers to buy mediterranean island for refugees,1
"in-need South Africa pageants sa 's main charity is the dignity dreams project , where re-usable , washable sanitary towels are given to schoolgirls in need .",1
"in-need New Zealand ""helen schafer chose to help a family in need . """" rather than sending out gifts to my clients , i 've sent them a letter effectively saying : ' this is what we 're going to do because it feels a hell of a lot more meaningful ' . """"""",1
"poor-families Philippines """""" every family which qualifies for the program should be covered . every child in poor families must be placed and kept in school , and they should enjoy health and nutrition assistance , romualdez said .""",1
"in-need Malaysia while many muslims can count on their blessings , they should not forget the fate of those who are poor and in need of help .",1
"in-need South Africa this year in recognition of their ongoing dedication and charitable sacrifice to help all those in need through mutual help , true comradeship and sound memory over the past 90 years , the moths of the better ' ole shellhole will stand proudly to attention as guard of honour and sentries for the duration of this year 's wayside cross remembrance ceremony .",1
"hopeless India ""despite having excellent academic qualifications , rani is shown the door at innumerable interviews for a teaching position . after five years , she finally gets a job at st notkers , but there 's a catch . she is given the notorious 9f , the """" hopeless """" students from the nearby slums who study in the school by virtue of the right to education , but are neither accepted by the teachers nor by the students .""",1
"poor-families Bangladesh aklima sultana , a teacher of the institution , told the daily star , ? i feel very proud when i think i teach underprivileged students coming from very poor families. ?",1
"homeless Bangladesh after vatican controversy , mcdonald 's helps feed homeless in rome",1
"homeless Bangladesh pope francis has made defence of the poor and needy a cornerstone of his papacy , setting up shower stalls for the homeless near the vatican , offering meals and even a vip-style visit to the sistine chapel .",1
